     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
   392.5,   392.5,  970.88,   18.56,   91.36,      35,      64,      72,    2.82,  296.80,  294.18,   17.12,   12.50,   12.66,  293.93,  296.42,   24.35,     NaN,     NaN,  324.50,     NaN,     NaN,   0.116
   397.5,   397.5,  970.20,   18.52,   91.43,      35,      62,      71,    2.85,  294.91,  294.21,   17.10,   12.49,   12.65,  293.89,  296.45,   32.20,     NaN,     NaN,  321.00,     NaN,     NaN,   0.115
   402.5,   402.5,  969.74,   18.49,   91.50,      34,      59,      70,    2.87,  293.30,  294.21,   17.08,   12.48,   12.64,  293.86,  296.45,   32.25,     NaN,     NaN,  321.00,     NaN,     NaN,   0.114
   407.5,   407.5,  969.39,   18.47,   91.55,      34,      59,      70,    2.88,  292.60,  294.22,   17.07,   12.48,   12.64,  293.84,  296.46,   32.30,     NaN,     NaN,  321.00,     NaN,     NaN,   0.114
   412.5,   412.5,  968.61,   18.44,   91.63,      34,      59,      70,    2.90,  290.96,  294.26,   17.05,   12.47,   12.63,  293.80,  296.50,   32.22,     NaN,     NaN,  337.67,     NaN,     NaN,   0.114
   417.5,   417.5,  967.87,   18.40,   91.72,      34,      59,      70,    2.90,  290.35,  294.29,   17.03,   12.47,   12.63,  293.77,  296.53,   31.97,     NaN,     NaN,  339.67,     NaN,     NaN,   0.114
   422.5,   422.5,  967.42,   18.38,   91.78,      34,      59,      70,    2.91,  289.95,  294.31,   17.02,   12.47,   12.62,  293.75,  296.55,   31.80,     NaN,     NaN,  341.00,     NaN,     NaN,   0.114
   427.5,   427.5,  967.03,   18.36,   91.84,      34,      59,      70,    2.90,  289.87,  294.32,   17.01,   12.46,   12.62,  293.73,  296.56,   31.67,     NaN,     NaN,  341.00,     NaN,     NaN,   0.114
   432.5,   432.5,  966.37,   18.33,   91.93,      34,      59,      70,    2.89,  289.74,  294.34,   16.99,   12.46,   12.62,  293.69,  296.58,   31.47,     NaN,     NaN,  341.00,     NaN,     NaN,   0.113
   437.5,   437.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   442.5,   442.5,  965.20,   18.28,   92.07,      34,      59,      70,    2.86,  289.25,  294.40,   16.97,   12.46,   12.61,  293.65,  296.64,   31.10,     NaN,     NaN,  317.00,     NaN,     NaN,   0.113
   447.5,   447.5,  964.77,   18.25,   92.19,      34,      59,      70,    2.84,  288.88,  294.40,   16.96,   12.45,   12.61,  293.61,  296.64,   30.80,     NaN,     NaN,  317.00,     NaN,     NaN,   0.113
   452.5,   452.5,  964.18,   18.21,   92.30,      35,      65,      73,    2.75,  287.41,  294.42,   16.94,   12.45,   12.60,  293.57,  296.65,   30.40,     NaN,     NaN,  312.25,     NaN,     NaN,   0.113
   457.5,   457.5,  963.51,   18.18,   92.42,      35,      65,      73,    2.72,  286.81,  294.44,   16.93,   12.44,   12.60,  293.54,  296.67,   30.10,     NaN,     NaN,  298.00,     NaN,     NaN,   0.113
   462.5,   462.5,  962.83,   18.15,   92.51,      34,      62,      71,    2.65,  286.31,  294.47,   16.92,   12.44,   12.60,  293.51,  296.71,   30.00,     NaN,     NaN,  298.00,     NaN,     NaN,   0.111
   467.5,   467.5,  962.35,   18.11,   92.64,      34,      61,      70,    2.64,  286.00,  294.48,   16.90,   12.44,   12.60,  293.47,  296.71,   29.70,     NaN,     NaN,  303.25,     NaN,     NaN,   0.111
   472.5,   472.5,  961.76,   18.08,   92.77,      34,      61,      70,    2.55,  284.51,  294.49,   16.89,   12.43,   12.59,  293.43,  296.73,   29.50,     NaN,     NaN,  305.00,     NaN,     NaN,   0.111
   477.5,   477.5,  961.19,   18.05,   92.86,      34,      61,      70,    2.53,  283.71,  294.52,   16.87,   12.43,   12.59,  293.41,  296.75,   29.47,     NaN,     NaN,  296.00,     NaN,     NaN,   0.110
   482.5,   482.5,  960.61,   18.02,   92.95,      34,      61,      70,    2.51,  282.88,  294.54,   16.86,   12.43,   12.59,  293.38,  296.77,   29.43,     NaN,     NaN,  287.00,     NaN,     NaN,   0.110
   487.5,   487.5,  960.11,   18.00,   93.03,      34,      61,      70,    2.49,  282.02,  294.56,   16.85,   12.43,   12.59,  293.35,  296.79,   29.40,     NaN,     NaN,  278.00,     NaN,     NaN,   0.109
   492.5,   492.5,  959.60,   17.96,   93.17,      34,      61,      70,    2.47,  280.61,  294.56,   16.83,   12.42,   12.58,  293.31,  296.79,   29.25,     NaN,     NaN,  278.00,     NaN,     NaN,   0.108
